old_path,new_path,action,reason,owner,status
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/log-omp.txt,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/log_omp.txt,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_rgb(omp).png,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_rgb_omp.png,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot-mpi-dynamic.c,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_mpi_dynamic.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot-s.c,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_s.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot-mpi-dynamic.out,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_mpi_dynamic.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/log-serial.txt,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/log_serial.txt,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot-omp.c,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_omp.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot-mpi-static.c,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_mpi_static.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/omp-15303383.out,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/omp_15303383.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/log-mpi-static.txt,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/log_mpi_static.txt,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/omp-15303383.err,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/omp_15303383.err,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot-mpi-static.out,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_mpi_static.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/log-mpi-dynamic.txt,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/log_mpi_dynamic.txt,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/job-t3-openmp.dat,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/job_t3_openmp.dat,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_rgb(mpi-dynamic).png,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/mandelbrot_rgb_mpi_dynamic.png,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/job-t3-mpi-static.dat,courses/parallel_programming_design/homework/homework3_b1128019/1-mandelbrot/job_t3_mpi_static.dat,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework2_b1128019/1-integral/pthread-race.out,courses/parallel_programming_design/homework/homework2_b1128019/1-integral/pthread_race.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework2_b1128019/1-integral/job-t3.dat,courses/parallel_programming_design/homework/homework2_b1128019/1-integral/job_t3.dat,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework2_b1128019/1-integral/pthread-race.c,courses/parallel_programming_design/homework/homework2_b1128019/1-integral/pthread_race.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework4_b1128019/1-sorting/job-t3.dat,courses/parallel_programming_design/homework/homework4_b1128019/1-sorting/job_t3.dat,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/1-Matrix/matrix-p.c,courses/parallel_programming_design/homework/homework1_b1128019/1-Matrix/matrix_p.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/1-Matrix/matrix-p.out,courses/parallel_programming_design/homework/homework1_b1128019/1-Matrix/matrix_p.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/1-Matrix/matrix-s.c,courses/parallel_programming_design/homework/homework1_b1128019/1-Matrix/matrix_s.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/1-Matrix/matrix-s.out,courses/parallel_programming_design/homework/homework1_b1128019/1-Matrix/matrix_s.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi-collect.out,courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi_collect.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi-p_to_p.out,courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi_p_to_p.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi-s.c,courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi_s.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi-p_to_p.c,courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi_p_to_p.c,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi-s.out,courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi_s.out,move,round3_filename_normalization,hjc,applied
courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi-collect.c,courses/parallel_programming_design/homework/homework1_b1128019/2-Pi/pi_collect.c,move,round3_filename_normalization,hjc,applied
courses/aiot/projects/sumo_sdpas/FinalProject .pdf,courses/aiot/projects/sumo_sdpas/final_project.pdf,move,round3_filename_normalization,hjc,applied
courses/aiot/projects/sumo_sdpas/sumoEnv.txt,courses/aiot/projects/sumo_sdpas/sumo_env.txt,move,round3_filename_normalization,hjc,applied
courses/aiot/projects/traffic_optimization_project/Traffic Signal Optimization using Q-Learning and SUMO.pptx,courses/aiot/projects/traffic_optimization_project/traffic_signal_optimization_using_q_learning_and_sumo.pptx,move,round3_filename_normalization,hjc,applied
courses/aiot/homework/homework_q_learning/AIoT Exercise.pdf,courses/aiot/homework/homework_q_learning/aio_t_exercise.pdf,move,round3_filename_normalization,hjc,applied
courses/aiot/homework/homework_q_learning/AIoT Demo Present.md,courses/aiot/homework/homework_q_learning/aio_t_demo_present.md,move,round3_filename_normalization,hjc,applied
courses/aiot/homework/homework_q_learning/Homework2_B1128019.pdf,courses/aiot/homework/homework_q_learning/homework2_b1128019.pdf,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l9_s/pcm-house1.xyz,courses/computer_vision/labs/l9_s/pcm_house1.xyz,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l9_s/CV_L9_B1128019.ipynb,courses/computer_vision/labs/l9_s/cv_l9_b1128019.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l9_s/pcm-house4.xyz,courses/computer_vision/labs/l9_s/pcm_house4.xyz,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l9_s/bunnyData.pts,courses/computer_vision/labs/l9_s/bunny_data.pts,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l9_s/cv_L9s.ipynb,courses/computer_vision/labs/l9_s/cv_l9s.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l9_s/block-08-06.stl,courses/computer_vision/labs/l9_s/block_08_06.stl,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l3_s/cv_L3.pdf,courses/computer_vision/labs/l3_s/cv_l3.pdf,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l3_s/kidman-cruise.jpg,courses/computer_vision/labs/l3_s/kidman_cruise.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l3_s/0_S8BzIAwjXc0XT-hR.png,courses/computer_vision/labs/l3_s/0_s8_bz_iawj_xc0_xt_h_r.png,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l3_s/B1128019_L3.ipynb,courses/computer_vision/labs/l3_s/b1128019_l3.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l7_s/cv_L7_s_B1128019.ipynb,courses/computer_vision/labs/l7_s/cv_l7_s_b1128019.ipynb,move,round3_filename_normalization,hjc,applied
"courses/computer_vision/labs/l4_s/Hans_Holbein,_the_Younger_-_Sir_Thomas_More_-_Google_Art_Project.jpg",courses/computer_vision/labs/l4_s/hans_holbein_the_younger_sir_thomas_more_google_art_project.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/Mona_Lisa.jpg,courses/computer_vision/labs/l4_s/mona_lisa.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/GertrudeStein.jpeg,courses/computer_vision/labs/l4_s/gertrude_stein.jpeg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/cv_L4.pdf,courses/computer_vision/labs/l4_s/cv_l4.pdf,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/B1128019_黃教丞_1002.html,courses/computer_vision/labs/l4_s/b1128019_1002.html,move,round3_filename_normalization,hjc,applied
"courses/computer_vision/labs/l4_s/1280px-Thomas_Kerrich_(1748-1828),_by_Pompeo_Batoni.jpg",courses/computer_vision/labs/l4_s/1280px_thomas_kerrich_1748_1828_by_pompeo_batoni.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/model_faceKeyPoint_cnn_300.pt,courses/computer_vision/labs/l4_s/model_face_key_point_cnn_300.pt,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/kidman-cruise.jpg,courses/computer_vision/labs/l4_s/kidman_cruise.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/簡報1.pptx,courses/computer_vision/labs/l4_s/slides_1.pptx,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/Girl_with_Cherries_Metropolitan_Museum_of_Art.jpg,courses/computer_vision/labs/l4_s/girl_with_cherries_metropolitan_museum_of_art.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/Obama.jpg,courses/computer_vision/labs/l4_s/obama.jpg,move,round3_filename_normalization,hjc,applied
"courses/computer_vision/labs/l4_s/Martin_Luther,_1529.jpg",courses/computer_vision/labs/l4_s/martin_luther_1529.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/model_faceKeyPoint_100.pt,courses/computer_vision/labs/l4_s/model_face_key_point_100.pt,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l4_s/HW2_B1128019_黃教丞.ipynb,courses/computer_vision/labs/l4_s/hw2_b1128019.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l10_s/cv_L10s.ipynb,courses/computer_vision/labs/l10_s/cv_l10s.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l10_s/requirements-torch-cuda.txt,courses/computer_vision/labs/l10_s/requirements_torch_cuda.txt,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l10_s/copy_of_Juneau.jpg,courses/computer_vision/labs/l10_s/copy_of_juneau.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/Pierre-Auguste_Renoir_110.jpg,courses/computer_vision/labs/l5_s/pierre_auguste_renoir_110.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/The_Blue_Boy.jpg,courses/computer_vision/labs/l5_s/the_blue_boy.jpg,move,round3_filename_normalization,hjc,applied
"courses/computer_vision/labs/l5_s/Hans_Holbein,_the_Younger_-_Sir_Thomas_More_-_Google_Art_Project.jpg",courses/computer_vision/labs/l5_s/hans_holbein_the_younger_sir_thomas_more_google_art_project.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/Mona_Lisa.jpg,courses/computer_vision/labs/l5_s/mona_lisa.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/GertrudeStein.jpeg,courses/computer_vision/labs/l5_s/gertrude_stein.jpeg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/moustache-png-by-spoonswagging-on-deviantart-1.png,courses/computer_vision/labs/l5_s/moustache_png_by_spoonswagging_on_deviantart_1.png,move,round3_filename_normalization,hjc,applied
"courses/computer_vision/labs/l5_s/1280px-Thomas_Kerrich_(1748-1828),_by_Pompeo_Batoni.jpg",courses/computer_vision/labs/l5_s/1280px_thomas_kerrich_1748_1828_by_pompeo_batoni.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/Thomas_Kerrich_(1748-1828)_by_Pompeo_Batoni.jpg,courses/computer_vision/labs/l5_s/thomas_kerrich_1748_1828_by_pompeo_batoni.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/B1128019_HW3.ipynb,courses/computer_vision/labs/l5_s/b1128019_hw3.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/Girl_with_Cherries_Metropolitan_Museum_of_Art.jpg,courses/computer_vision/labs/l5_s/girl_with_cherries_metropolitan_museum_of_art.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/Obama.jpg,courses/computer_vision/labs/l5_s/obama.jpg,move,round3_filename_normalization,hjc,applied
"courses/computer_vision/labs/l5_s/Martin_Luther,_1529.jpg",courses/computer_vision/labs/l5_s/martin_luther_1529.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/model_faceKeyPoint_100.pt,courses/computer_vision/labs/l5_s/model_face_key_point_100.pt,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/B1128019黃教丞_cv_L5_s.ipynb,courses/computer_vision/labs/l5_s/b1128019_cv_l5_s.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l5_s/model2_faceKeyPoint_300.pt,courses/computer_vision/labs/l5_s/model2_face_key_point_300.pt,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l2_s/cv_L2.pdf,courses/computer_vision/labs/l2_s/cv_l2.pdf,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l2_s/Lenna.png,courses/computer_vision/labs/l2_s/lenna.png,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l2_s/kidman-cruise.jpg,courses/computer_vision/labs/l2_s/kidman_cruise.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l2_s/B1128019黃教丞.ipynb,courses/computer_vision/labs/l2_s/b1128019.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l2_s/Warhammer40k.jpg,courses/computer_vision/labs/l2_s/warhammer40k.jpg,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l8_s/cv_L8_S.ipynb,courses/computer_vision/labs/l8_s/cv_l8_s.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l8_s/cv_L8_B1128019.ipynb,courses/computer_vision/labs/l8_s/cv_l8_b1128019.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l8_s/bunnyData.pts,courses/computer_vision/labs/l8_s/bunny_data.pts,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l8_s/cv_L8_S.py,courses/computer_vision/labs/l8_s/cv_l8_s.py,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l8_s/BunnyMesh.ply,courses/computer_vision/labs/l8_s/bunny_mesh.ply,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l6_s/cv_L6_s.ipynb,courses/computer_vision/labs/l6_s/cv_l6_s.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l12_s/image copy.png,courses/computer_vision/labs/l12_s/image_copy.png,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l12_s/DepthCapture_2024-12-05-15-15-41.png,courses/computer_vision/labs/l12_s/depth_capture_2024_12_05_15_15_41.png,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l12_s/DepthCamera_2024-12-05-15-15-41.json,courses/computer_vision/labs/l12_s/depth_camera_2024_12_05_15_15_41.json,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l12_s/L12_B1128019.ipynb,courses/computer_vision/labs/l12_s/l12_b1128019.ipynb,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l12_s/image copy 2.png,courses/computer_vision/labs/l12_s/image_copy_2.png,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l12_s/image copy 3.png,courses/computer_vision/labs/l12_s/image_copy_3.png,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l12_s/image copy 4.png,courses/computer_vision/labs/l12_s/image_copy_4.png,move,round3_filename_normalization,hjc,applied
courses/computer_vision/labs/l12_s/image copy 5.png,courses/computer_vision/labs/l12_s/image_copy_5.png,move,round3_filename_normalization,hjc,applied
courses/data_mining/projects/dm_final/B1128019黃教丞FINAL.pdf,courses/data_mining/projects/dm_final/b1128019_final.pdf,move,round3_filename_normalization,hjc,applied
courses/data_mining/projects/dm_final/資料探勘期末B1128019.md,courses/data_mining/projects/dm_final/data_mining_final_b1128019.md,move,round3_filename_normalization,hjc,applied
courses/data_mining/homework/hw2/dmHW2.pdf,courses/data_mining/homework/hw2/dm_hw2.pdf,move,round3_filename_normalization,hjc,applied
courses/data_mining/homework/hw1/Data mining-Hw-1.pdf,courses/data_mining/homework/hw1/data_mining_hw_1.pdf,move,round3_filename_normalization,hjc,applied
courses/data_mining/homework/hw1/113.2 DATA MINING HOMEWORK 1.pdf,courses/data_mining/homework/hw1/113.2 data mining homework 1.pdf,move,round3_filename_normalization,hjc,applied
courses/data_mining/homework/hw1/Dm-Hw01.ipynb,courses/data_mining/homework/hw1/dm_hw01.ipynb,move,round3_filename_normalization,hjc,applied
courses/multimedia_information_system/homework/hw2_yuv_subtransform/B1128019.pdf,courses/multimedia_information_system/homework/hw2_yuv_subtransform/b1128019.pdf,move,round3_filename_normalization,hjc,applied
courses/multimedia_information_system/homework/hw2_yuv_subtransform/Hw_image_1.raw,courses/multimedia_information_system/homework/hw2_yuv_subtransform/hw_image_1.raw,move,round3_filename_normalization,hjc,applied
courses/multimedia_information_system/homework/hw2_yuv_subtransform/Hw_image_2.raw,courses/multimedia_information_system/homework/hw2_yuv_subtransform/hw_image_2.raw,move,round3_filename_normalization,hjc,applied
courses/multimedia_information_system/homework/hw2_yuv_subtransform/B1128019.ipynb,courses/multimedia_information_system/homework/hw2_yuv_subtransform/b1128019.ipynb,move,round3_filename_normalization,hjc,applied
courses/multimedia_information_system/homework/hw1_dft_filter/HW1_DFT_Filter_2024.ppt,courses/multimedia_information_system/homework/hw1_dft_filter/hw1_dft_filter_2024.ppt,move,round3_filename_normalization,hjc,applied
courses/multimedia_information_system/homework/hw1_dft_filter/Nello.wav,courses/multimedia_information_system/homework/hw1_dft_filter/nello.wav,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/projects/nlp_finalproject/規則格式.rtf,courses/natural_language_processing/projects/nlp_finalproject/rule_format.rtf,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw1_b1128019/NLP_HW1_B1128019.pdf,courses/natural_language_processing/homework/nlp_hw1_b1128019/nlp_hw1_b1128019.pdf,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw3_b1128019/NLP_HW3_B1128019.ipynb,courses/natural_language_processing/homework/nlp_hw3_b1128019/nlp_hw3_b1128019.ipynb,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw3_b1128019/NLP_HW3_B1128019.py,courses/natural_language_processing/homework/nlp_hw3_b1128019/nlp_hw3_b1128019.py,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw3_b1128019/NLP_HW3_B1128019.docx,courses/natural_language_processing/homework/nlp_hw3_b1128019/nlp_hw3_b1128019.docx,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw3_b1128019/NLP_HW3_B1128019.pdf,courses/natural_language_processing/homework/nlp_hw3_b1128019/nlp_hw3_b1128019.pdf,move,round3_filename_normalization,hjc,applied
courses/natural_language_processing/homework/nlp_hw4_b1128019/CGU-NLP-HW4-PEFT.pptx,courses/natural_language_processing/homework/nlp_hw4_b1128019/cgu_nlp_hw4_peft.pptx,move,round3_filename_normalization,hjc,applied
