file_path,status,sensitivity,topic,owner,target_path,next_action,review_date
worklist/raw_sources/image_storage/Pasted image 20250529023740.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250529023849.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250603213745.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20250605041726.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251104215539.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251104231230.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251120153244.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202185146.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202185711.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202193341.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202193353.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202193401.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202193404.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202195832.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202200039.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202200101.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202200118.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20251202200157.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20260114205113.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/Pasted image 20260114205120.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/blastp 1.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/blastp.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/chart1_integration_savings.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/chart2_complexity_vs_scale.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/chart3_maintenance_cost.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/chart4_token_optimization.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/chart5_summary_radar.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/tp53.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
worklist/raw_sources/image_storage/uniprot.png,raw_sources,internal,,hjc,,transform_before_publish,2026-02-08
